account_id,customer_name,account_type,branch,transaction_type,transaction_amount,account_balance,currency,transaction_date,year,month,month_name,day,weekday,transaction_direction,transaction_category,net_amount
ACC00001,Amanda Pugh,Recurring Deposit,Los Angeles,Debit,778.53,36676.19,GBP,2024-01-03,2024,1,January,3,Wednesday,Outflow,Transfer,-778.53
ACC00002,Amanda Wilcox,Recurring Deposit,Phoenix,Debit,1190.41,28582.82,USD,2022-09-27,2022,9,September,27,Tuesday,Outflow,Food,-1190.41
ACC00003,Kimberly Valenzuela,Current,Houston,Debit,7110.48,76599.56,GBP,2022-07-20,2022,7,July,20,Wednesday,Outflow,Bills,-7110.48
ACC00004,Sonia Ballard,Recurring Deposit,Phoenix,Debit,3153.05,62317.6,INR,2024-04-03,2024,4,April,3,Wednesday,Outflow,Food,-3153.05
ACC00005,Erika Russell,Current,San Diego,Credit,5753.5,85515.21,INR,2024-07-09,2024,7,July,9,Tuesday,Inflow,Bills,5753.5
ACC00006,William Sanchez,Savings,Phoenix,Credit,11583.8,43853.88,INR,2022-08-02,2022,8,August,2,Tuesday,Inflow,Salary,5791.9
ACC00007,Virginia Sanchez,Savings,Phoenix,Credit,5630.32,8712.06,USD,2024-07-02,2024,7,July,2,Tuesday,Inflow,Shopping,2815.16
ACC00008,David Martin,Fixed Deposit,Phoenix,Debit,6419.96,41826.02,GBP,2022-05-22,2022,5,May,22,Sunday,Outflow,Transfer,-4938.43
ACC00009,Molly Riley,Current,Chicago,Debit,3475.29,99240.82,INR,2024-01-14,2024,1,January,14,Sunday,Outflow,Salary,-2673.3
ACC00010,Alex Chaney,Current,Philadelphia,Debit,2972.68,67885.77,EUR,2022-08-20,2022,8,August,20,Saturday,Outflow,Food,-2286.68
ACC00011,Anna Silva,Savings,Phoenix,Credit,2407.42,5455.21,GBP,2023-03-19,2023,3,March,19,Sunday,Inflow,Bills,1851.86
ACC00012,Christopher Flores,Recurring Deposit,Chicago,Debit,4692.6,98421.25,EUR,2022-11-09,2022,11,November,9,Wednesday,Outflow,Food,-4692.6
ACC00013,Gina Harris,Recurring Deposit,Chicago,Debit,7991.6,94234.05,JPY,2022-07-20,2022,7,July,20,Wednesday,Outflow,Shopping,-7991.6
ACC00014,Roy Williams,Fixed Deposit,Phoenix,Credit,14727.16,4666.74,EUR,2022-01-03,2022,1,January,3,Monday,Inflow,Food,7363.58
ACC00015,Marc Schroeder,Fixed Deposit,San Diego,Credit,1027.69,59424.05,USD,2022-12-19,2022,12,December,19,Monday,Inflow,Transfer,1027.69
ACC00016,Jennifer Bennett,Recurring Deposit,Chicago,Credit,7893.01,9361.88,JPY,2022-05-17,2022,5,May,17,Tuesday,Inflow,Shopping,7893.01
ACC00017,Tina Lee,Fixed Deposit,Los Angeles,Credit,1498.28,38544.65,GBP,2022-02-18,2022,2,February,18,Friday,Inflow,Bills,1498.28
ACC00018,Jessica Nash,Fixed Deposit,Chicago,Debit,3713.53,75061.47,USD,2024-10-17,2024,10,October,17,Thursday,Outflow,Bills,-3713.53
ACC00019,Kevin Farley,Savings,San Antonio,Debit,4210.75,6589.13,GBP,2024-03-25,2024,3,March,25,Monday,Outflow,Salary,-4210.75
ACC00020,Jerome Stewart,Current,Los Angeles,Credit,1016.24,82842.03,USD,2024-11-10,2024,11,November,10,Sunday,Inflow,Bills,781.72
ACC00021,Bobby Butler,Savings,Phoenix,Debit,3773.15,10526.6,INR,2022-02-19,2022,2,February,19,Saturday,Outflow,Food,-2902.42
ACC00022,Michelle Bruce,Fixed Deposit,Phoenix,Credit,8223.03,69502.82,INR,2022-06-24,2022,6,June,24,Friday,Inflow,Bills,8223.03
ACC00023,Steven Gibbs,Savings,Philadelphia,Credit,259.82,18660.25,GBP,2023-09-18,2023,9,September,18,Monday,Inflow,Shopping,259.82
ACC00024,Melissa Mcfarland,Current,Phoenix,Debit,14290.87,96065.91,GBP,2024-02-14,2024,2,February,14,Wednesday,Outflow,Bills,-14290.87
ACC00025,Mary Gordon,Current,Phoenix,Debit,394.11,61228.85,USD,2024-03-15,2024,3,March,15,Friday,Outflow,Food,-394.11
ACC00026,Shawn Mcguire,Current,Phoenix,Debit,4133.7,29512.91,JPY,2023-02-20,2023,2,February,20,Monday,Outflow,Food,-4133.7
ACC00027,Victoria Greene,Fixed Deposit,Phoenix,Credit,1644.7,81274.27,USD,2023-08-02,2023,8,August,2,Wednesday,Inflow,Transfer,822.35
ACC00028,Kimberly Gonzalez,Current,Chicago,Debit,4618.92,5871.26,EUR,2024-03-05,2024,3,March,5,Tuesday,Outflow,Food,-4618.92
ACC00029,Diana Owens,Current,Phoenix,Debit,7146.19,82536.62,GBP,2023-07-17,2023,7,July,17,Monday,Outflow,Shopping,-7146.19
ACC00030,Jane Gonzalez MD,Fixed Deposit,Phoenix,Credit,7638.74,61707.2,INR,2023-11-19,2023,11,November,19,Sunday,Inflow,Food,5875.95
ACC00031,Jasmine Cooper,Current,Chicago,Debit,6549.33,17274.5,USD,2022-08-31,2022,8,August,31,Wednesday,Outflow,Food,-6549.33
ACC00032,Carla Munoz,Savings,Phoenix,Credit,2682.84,21325.21,JPY,2022-06-30,2022,6,June,30,Thursday,Inflow,Food,2682.84
ACC00033,Isaac Bolton,Recurring Deposit,Phoenix,Credit,10640.2,82879.74,USD,2024-12-07,2024,12,December,7,Saturday,Inflow,Bills,8184.77
ACC00034,Heather Mcdowell,Fixed Deposit,San Diego,Debit,15890.22,16335.32,JPY,2024-02-17,2024,2,February,17,Saturday,Outflow,Transfer,-12223.25
ACC00035,Paul Harris,Savings,San Diego,Debit,3574.71,59576.91,USD,2023-08-29,2023,8,August,29,Tuesday,Outflow,Shopping,-3574.71
ACC00036,Dr. Tammy Hinton,Fixed Deposit,Phoenix,Debit,2444.34,35213.26,USD,2024-10-04,2024,10,October,4,Friday,Outflow,Shopping,-2444.34
ACC00037,Andrew Martinez,Fixed Deposit,Phoenix,Credit,2206.78,16522.71,USD,2022-03-27,2022,3,March,27,Sunday,Inflow,Bills,1697.52
ACC00038,Christina Berg,Savings,Phoenix,Credit,11230.02,65268.42,INR,2022-04-05,2022,4,April,5,Tuesday,Inflow,Shopping,5615.01
ACC00039,Carmen Carter,Savings,Phoenix,Debit,6763.78,99366.77,EUR,2022-02-15,2022,2,February,15,Tuesday,Outflow,Transfer,-6763.78
ACC00040,Robert Wright,Recurring Deposit,San Diego,Debit,3178.79,55714.59,GBP,2022-02-05,2022,2,February,5,Saturday,Outflow,Shopping,-2445.22
