account_id,customer_name,account_type,branch,transaction_type,transaction_amount,account_balance,currency
ACC00001,Amanda Pugh,Recurring Deposit,New York,Debit,2687.1900000000001,36676.190000000002,GBP
ACC00002,Amanda Wilcox,Recurring Deposit,Houston,Debit,3886.77,28582.82,
ACC00003,Kimberly Valenzuela,Current,New York,Credit,2438.7399999999998,76599.559999999998,GBP
ACC00004,Sonia Ballard,Recurring Deposit,Philadelphia,Credit,2758.5300000000002,62317.599999999999,INR
ACC00005,Erika Russell,Current,Philadelphia,Debit,3287,85515.210000000006,INR
ACC00006,William Sanchez,Savings,New York,Debit,143.5,43853.879999999997,INR
ACC00007,Virginia Sanchez,Savings,New York,Debit,3048.4400000000001,8712.0599999999995,USD
ACC00008,David Martin,Fixed Deposit,San Diego,Debit,3157.3400000000001,41826.019999999997,GBP
ACC00009,Molly Riley,Current,Philadelphia,Debit,198.08000000000001,99240.820000000007,INR
ACC00010,Alex Chaney,Current,New York,Credit,983.58000000000004,67885.770000000004,EUR
ACC00011,Anna Silva,Savings,San Diego,Debit,958.88999999999999,5455.21,GBP
ACC00012,Christopher Flores,Recurring Deposit,Chicago,Debit,4496.1599999999999,98421.25,EUR
ACC00013,Gina Harris,Recurring Deposit,Los Angeles,Credit,3269.04,94234.050000000003,JPY
ACC00014,Roy Williams,Fixed Deposit,New York,Debit,563.03999999999996,4666.7399999999998,EUR
ACC00015,Marc Schroeder,Fixed Deposit,Philadelphia,Credit,3855.8800000000001,59424.050000000003,USD
ACC00016,Jennifer Bennett,Recurring Deposit,New York,Debit,4620.5,9361.8799999999992,JPY
ACC00017,Tina Lee,Fixed Deposit,Houston,Debit,4269.3500000000004,38544.650000000001,GBP
ACC00018,Jessica Nash,Fixed Deposit,San Antonio,Debit,4260.0699999999997,75061.470000000001,USD
ACC00019,Kevin Farley,Savings,Philadelphia,Debit,4350.9499999999998,6589.1300000000001,GBP
ACC00020,Jerome Stewart,Current,Los Angeles,Credit,2563.52,82842.029999999999,USD
ACC00021,Bobby Butler,Savings,Houston,Debit,2104.23,10526.6,INR
ACC00022,Michelle Bruce,Fixed Deposit,Phoenix,Credit,4846.8400000000001,69502.820000000007,INR
ACC00023,Steven Gibbs,Savings,New York,Debit,2031.96,18660.25,GBP
ACC00024,Melissa Mcfarland,Current,Los Angeles,Credit,2538.52,96065.910000000003,GBP
